dataset,iters,norm,ndcg
NP2004,2,query-level normalization,0.0757
NP2004,2,global normalization,0.05314
HP2004,2,query-level normalization,0.29562
HP2004,2,global normalization,0.14808
OHSUMED,2,query-level normalization,0.4118
OHSUMED,2,global normalization,0.41992
TD2004,2,query-level normalization,0.23256
TD2004,2,global normalization,0.14036
HP2003,2,query-level normalization,0.62904
HP2003,2,global normalization,0.30464
TD2003,2,query-level normalization,0.18984
TD2003,2,global normalization,0.10876
NP2003,2,query-level normalization,0.14918
NP2003,2,global normalization,0.0288
NP2004,4,query-level normalization,0.11536
NP2004,4,global normalization,0.10286
HP2004,4,query-level normalization,0.4052
HP2004,4,global normalization,0.22222
OHSUMED,4,query-level normalization,0.41864
OHSUMED,4,global normalization,0.43588
TD2004,4,query-level normalization,0.15648
TD2004,4,global normalization,0.0758
HP2003,4,query-level normalization,0.35136
HP2003,4,global normalization,0.34244
TD2003,4,query-level normalization,0.13654
TD2003,4,global normalization,0.20686
NP2003,4,query-level normalization,0.10582
NP2003,4,global normalization,0.10942
NP2004,6,query-level normalization,0.07618
NP2004,6,global normalization,0.1388
HP2004,6,query-level normalization,0.0988
HP2004,6,global normalization,0.06074
OHSUMED,6,query-level normalization,0.42698
OHSUMED,6,global normalization,0.42882
TD2004,6,query-level normalization,0.16292
TD2004,6,global normalization,0.0771
HP2003,6,query-level normalization,0.13774
HP2003,6,global normalization,0.58258
TD2003,6,query-level normalization,0.15134
TD2003,6,global normalization,0.06514
NP2003,6,query-level normalization,0.14048
NP2003,6,global normalization,0.02164
NP2004,8,query-level normalization,0.13152
NP2004,8,global normalization,0.1668
HP2004,8,query-level normalization,0.0878
HP2004,8,global normalization,0.57384
OHSUMED,8,query-level normalization,0.42908
OHSUMED,8,global normalization,0.4188
TD2004,8,query-level normalization,0.13168
TD2004,8,global normalization,0.21554
HP2003,8,query-level normalization,0.10502
HP2003,8,global normalization,0.18508
TD2003,8,query-level normalization,0.17448
TD2003,8,global normalization,0.0616
NP2003,8,query-level normalization,0.18882
NP2003,8,global normalization,0.09478
NP2004,10,query-level normalization,0.07386
NP2004,10,global normalization,0.0475
HP2004,10,query-level normalization,0.2664
HP2004,10,global normalization,0.10416
OHSUMED,10,query-level normalization,0.44572
OHSUMED,10,global normalization,0.43048
TD2004,10,query-level normalization,0.15158
TD2004,10,global normalization,0.17528
HP2003,10,query-level normalization,0.36284
HP2003,10,global normalization,0.44016
TD2003,10,query-level normalization,0.15248
TD2003,10,global normalization,0.17604
NP2003,10,query-level normalization,0.1098
NP2003,10,global normalization,0.21278
